Siruta,Localitate,Barbati_18-24,Barbati_25-34,Barbati_35-44,Barbati_45-64,Femei_18-24,Femei_25-34,Femei_35-44,Femei_45-64
9019,CUT,0.221,7.726,21.854,47.02,7.726,3.753,0.442,10.596
9026,BUCERDEA GRANOASA,12.31,15.198,9.878,39.514,4.559,1.52,0.456,15.198
9262,MUNICIPIUL ARAD,6.822,4.563,19.807,26.266,24.58,4.003,1.318,10.944
9280,FANTANELE,6.893,2.453,20.327,33.294,11.682,9.579,0.935,13.902
9333,LIVADA,4.401,4.094,19.55,23.132,23.03,6.653,0.819,16.888
9360,SOFRONEA,28.225,3.704,17.625,20.69,13.41,2.682,1.022,11.111
9397,VLADIMIRESCU,1.468,3.502,17.412,31.621,22.148,3.836,1.301,17.512
9459,ORAS CHISINEU-CRIS,14.754,2.75,23.427,28.821,9.043,2.38,4.654,13.326
9495,ORAS CURTICI,1.871,7.934,23.353,34.356,15.943,1.722,1.123,12.65
9538,ORAS INEU,2.409,3.054,22.882,37.591,9.419,3.527,1.892,18.495
9574,ORAS LIPOVA,1.174,3.725,40.162,23.603,13.36,3.887,0.891,12.348
9627,ORAS NADLAC,1.757,20.473,21.486,19.392,12.23,4.392,0.541,18.041
9654,ORAS PANCOTA,2.408,3.802,39.67,15.653,8.428,1.331,1.331,26.426
9690,ORAS SEBIS,1.696,6.36,23.11,36.254,12.862,3.675,2.615,12.085
9743,ALMAS,0.605,5.295,25.416,32.073,9.531,8.623,2.118,15.734
9798,APATEU,0.484,2.056,41.596,28.537,8.585,2.539,0.726,14.873
9832,ARCHIS,0.525,5.604,49.912,18.914,6.305,2.102,0.701,15.587
9887,BATA,0,6.498,22.744,40.794,7.22,8.664,5.415,7.942
9930,BELIU,0.126,3.774,28.931,37.736,7.547,4.906,1.384,14.843
10006,BIRCHIS,0.314,8.805,35.535,20.755,4.717,14.78,2.516,11.95
10051,BARSA,0.935,4.05,21.807,40.031,6.542,5.14,3.427,17.445
10104,BARZAVA,0.578,2.543,54.682,20.925,5.318,4.162,1.618,9.827
10195,BOCSIG,1.427,3.281,31.812,29.101,9.7,3.566,3.138,15.977
10239,BRAZII,1.505,10.323,20.43,35.054,2.151,6.452,6.452,17.204
10293,BUTENI,0.271,2.534,29.05,46.697,4.615,4.615,1.9,9.683
10346,CARAND,2.034,7.797,33.559,31.525,7.458,1.017,5.763,10.169
10373,CERMEI,1.602,2.937,28.838,40.053,5.607,2.537,1.202,15.487
10417,CHISINDIA,0.759,4.051,32.152,39.494,3.797,6.582,3.038,8.608
10453,CONOP,1.308,3.738,30.093,35.888,5.234,8.785,1.869,12.523
10514,COVASINT,0.236,7.092,15.366,39.716,15.603,4.019,2.364,15.13
10532,CRAIVA,0.33,4.515,44.163,29.515,3.304,7.379,1.322,9.251
10649,DEZNA,1.039,7.532,39.74,22.078,10.649,7.792,3.896,5.714
10701,DIECI,0,5.502,41.1,32.686,3.56,6.472,1.456,9.061
10765,USUSAU,0,9.936,34.295,16.346,10.256,4.167,3.846,19.872
10827,FELNAC,0.588,1.412,52.118,17.765,6,2.235,1.765,17.176
10872,GHIOROC,3.739,2.564,16.453,45.299,10.684,3.846,0.427,16.56
10916,GRANICERI,0.785,4.188,20.681,36.649,3.927,3.141,1.571,28.01
10943,GURAHONT,0.364,5.096,31.483,38.581,4.277,2.002,7.825,9.554
11058,HALMAGIU,0.567,4.762,57.483,17.12,3.741,3.628,2.154,10.091
11174,HALMAGEL,1.099,9.066,33.242,28.571,5.495,5.22,4.67,12.088
11236,HASMAS,1.202,2.405,41.683,22.244,6.613,11.022,1.403,12.826
11307,IGNESTI,1.299,6.061,21.645,36.797,5.195,10.39,0.866,17.316
11352,IRATOSU,40.199,1.495,8.306,21.429,7.475,4.485,2.492,13.455
11398,MACEA,1.014,2.488,20.737,30.415,10.138,4.147,4.977,25.069
11423,MISCA,52.25,1.375,16,6.375,3.25,3.5,0.625,16.125
11478,MONEASA,1.527,2.29,46.819,30.28,4.835,3.308,1.272,8.651
11502,OLARI,16.849,1.094,13.348,38.512,4.814,1.969,0.875,22.319
11539,PAULIS,1.583,7.065,31.912,24.604,11.449,3.289,1.34,17.905
11584,ORAS PECICA,18.926,2.232,14.203,32.773,9.77,2.879,1.294,17.082
11637,PEREGU MARE,53.947,2.193,7.675,12.5,6.14,3.728,0.877,11.842
11664,PETRIS,0.246,4.187,21.921,42.118,3.695,7.635,2.217,16.995
11735,PILU,1.072,12.064,20.375,39.142,6.166,1.609,1.877,17.158
11762,PLESCUTA,0,6.267,30.245,42.234,4.087,3.542,2.18,10.899
11842,SAVARSIN,1.117,7.961,31.145,28.492,4.05,8.38,2.514,15.363
11940,SECUSIGIU,2.144,7.115,31.287,18.421,6.725,6.53,2.047,25.146
11995,SELEUS,0.281,5.056,21.489,33.989,3.511,3.511,2.388,28.652
12037,SEMLAC,1.127,2.394,17.324,33.944,11.831,2.113,0.704,29.437
12055,SINTEA MARE,28.73,4.192,13.194,29.47,5.302,2.589,0.617,14.92
12091,ORAS SANTANA,0.77,4.167,20.516,27.31,15.851,4.393,1.812,24.185
12126,SOCODOR,1.708,2.628,18.528,50.854,4.336,1.971,1.314,17.871
12144,SAGU,0.43,10.634,13.534,42.427,10.311,3.222,1.933,16.756
12206,SEITIN,0.49,1.471,34.314,23.529,7.843,3.431,1.471,27.288
12224,SEPREUS,0.874,2.098,29.545,44.056,4.196,2.273,1.049,15.385
12242,SICULA,0.942,10.247,39.34,14.723,6.949,4.711,1.767,20.73
12288,SILINDIA,4.364,3.273,9.091,55.636,4,3.636,0.364,18.182
12340,SIMAND,1.889,2.159,23.752,37.247,7.018,3.104,5.668,17.544
12368,SIRIA,1.039,2.493,20.083,32.548,12.05,2.978,2.147,25.277
12402,SISTAROVAT,0,1.754,29.825,21.93,20.175,9.649,0.877,14.912
12457,TAUT,0.46,4.368,20.23,36.092,8.046,10.575,1.379,18.161
12509,TARNOVA,0.103,1.486,45.464,30.087,2.819,1.794,2.153,15.53
12572,VARADIA DE MURES,0.952,8.095,36.429,25.952,7.857,4.762,4.762,10.952
12643,VINGA,14.643,2.959,14.416,27.769,16.995,3.49,1.669,17.375
12689,VARFURILE,0.604,9.366,31.269,24.32,15.71,4.985,5.438,8.157
12778,ZABRANI,0.656,2.362,16.01,33.333,13.648,4.724,2.1,26.247
12812,ZARAND,0.152,9.741,10.959,27.854,2.283,14.46,14.916,18.417
12849,ZERIND,66.543,1.859,5.948,13.011,1.487,2.23,1.487,6.691
12876,ZIMANDU NOU,21.81,3.867,11.292,29.234,14.54,2.63,1.315,13.844
12912,DOROBANTI,80.458,1.056,1.937,7.042,5.106,1.056,0.88,1.761
12920,FRUMUSENI,0.786,3.931,13.836,42.925,12.107,2.358,0.943,21.384
12938,ZADARENI,0.852,4.261,14.205,42.898,10.938,4.972,0.568,20.17
13169,MUNICIPIUL PITESTI,0.18,4.389,37.225,19.983,24.233,5.15,0.902,6.544
13187,BASCOV,0.165,6.944,35.88,19.742,20.734,4.861,0.728,10.119
13276,BRADU,0.307,13.305,46.281,13.344,13.305,4.985,0.69,6.902
13301,ORAS MIOVENI,0.152,3.155,45.241,15.077,18.884,5.722,0.751,9.823
13365,MARACINENI,0.184,4.853,47.297,18.857,15.111,4.914,0.614,6.88
13392,ORAS STEFANESTI,0.309,7.439,39.331,18.43,20.026,4.916,0.952,6.718
13490,MUNICIPIUL CAMPULUNG,0.228,3.904,35.463,22.281,24.322,4.575,0.862,7.351
13524,VALEA MARE-PRAVAT,0.374,2.15,56.916,15.701,11.776,3.551,1.495,7.383
13622,MUNICIPIUL CURTEA DE ARGES,0.181,4.567,39.783,19.518,18.357,6.166,0.942,9.481
13668,ORAS COSTESTI,0.367,4.367,50.898,14.49,11.551,4.653,1.551,10.204
13757,ORAS TOPOLOVENI,0.192,3.308,46.462,20.385,11.808,5.692,0.962,8.077
13819,ALBESTII DE ARGES,0.126,5.223,34.865,27.376,8.748,8.37,1.196,13.782
13891,ALBESTII DE MUSCEL,0.23,5.3,31.567,43.779,7.143,5.53,0.461,5.76
13935,ALBOTA,0.073,1.965,56.041,14.993,12.809,5.895,1.019,6.332
13999,ANINOASA,0.197,7.98,50.739,14.187,7.094,7.488,1.576,10.443
14049,AREFU,0,3.926,39.463,23.76,12.81,5.579,1.033,12.603
14085,BABANA,0.327,3.704,42.593,25.163,8.497,7.516,0.654,10.784
14165,BAICULESTI,0.132,2.044,54.384,15.293,10.02,7.119,0.527,9.822
14272,BALILESTI,0.085,10.076,52.413,18.544,7.536,2.71,0.593,7.536
14352,BELETI-NEGRESTI,0.323,7.742,34.194,19.355,13.71,15.484,0.645,7.903
14405,BEREVOESTI,0.356,5.701,55.701,13.064,3.563,9.026,0.713,11.876
14450,BARLA,0.157,2.275,44.627,41.49,3.686,3.137,0.392,4
14584,BOGATI,0.093,3.907,56.837,17.488,5.488,5.395,0.558,9.86
14673,BOTENI,0.115,10.653,59.336,12.944,5.842,5.956,0.802,4.124
14726,BOTESTI,0.246,3.44,45.946,22.359,3.44,17.69,1.474,5.16
14753,BRADULET,0,17.966,39.322,10.169,6.949,4.915,0.678,14.915
14851,BUDEASA,0.622,3.108,54.973,15.631,10.302,4.618,1.155,8.615
14922,BUGHEA DE JOS,0.39,2.987,51.169,18.961,13.896,2.468,1.299,8.442
14940,BUZOESTI,0.644,7.241,48.994,19.147,6.597,7.884,0.805,8.206
15064,CALDARARU,0.196,6.078,43.333,28.431,3.529,10.196,0.392,6.863
15108,CALINESTI,0.121,6.242,51.671,12.807,10.834,5.477,1.289,10.632
15233,CATEASCA,0.184,5.991,53.18,14.378,10.046,4.424,1.014,10.415
15313,CEPARI,0.387,2.901,48.549,22.244,7.544,8.704,1.354,7.93
15402,CETATENI,0.254,3.304,71.792,9.403,6.607,2.668,1.525,4.193
15448,CICANESTI,0.332,9.287,34.494,35.987,6.633,4.975,1.327,6.633
15493,CIOFRANGENI,0.14,3.352,57.123,15.782,11.453,1.816,0.419,8.939
15554,CIOMAGESTI,0,3.694,42.216,36.148,2.639,9.499,1.583,3.958
15652,COCU,0.219,8.333,47.588,13.816,14.254,3.289,1.316,10.746
15741,CORBENI,0.145,2.398,45.64,14.753,14.462,6.977,1.017,13.881
15830,CORBI,0.313,14.699,34.246,15.012,7.193,7.115,1.173,19.547
15901,COSESTI,0.091,4.62,55.616,10.96,7.065,7.156,1.178,11.594
15983,COTMEANA,0.421,3.789,50.737,18.737,8.211,6.105,2.526,9.474
16132,CUCA,0.372,4.469,47.858,14.711,5.587,8.939,1.304,16.201
16285,DAVIDESTI,0.241,2.533,53.559,17.853,13.148,4.946,0.844,6.514
16329,DAMBOVICIOARA,0.229,3.661,44.851,24.256,6.865,6.865,1.602,6.865
16365,DARMANESTI,0.322,3.008,54.458,14.393,10.849,3.867,0.537,12.03
16427,DOBRESTI,0.398,6.561,52.485,21.272,5.169,3.579,0.199,10.338
16454,DOMNESTI,0,3.365,35.417,43.83,5.609,4.006,0.721,6.33
16472,DRAGOSLAVELE,0,5.718,41.702,32.357,7.81,4.324,0.976,6.416
16506,DRAGANU,0,2.804,52.523,17.757,10.28,5.421,1.495,9.346
16551,GODENI,0,1.517,57.775,15.297,9.735,3.034,1.138,8.85
16613,HARSEȘTI,0,5.585,67.714,12.391,3.665,3.141,1.222,6.108
16659,HARTIESTI,0.288,1.248,27.831,64.012,1.631,1.631,1.44,1.727
16739,IZVORU,0,5.376,39.14,32.688,7.097,7.312,0.86,7.312
16757,LEORDENI,0.23,3.684,45.664,16.654,7.137,12.356,1.151,10.514
16908,LERESTI,0.211,2.954,58.861,14.205,12.729,4.501,1.617,4.008
16944,LUNCA CORBULUI,0.293,5.271,57.833,14.641,6.296,2.928,1.318,11.127
17049,MALURENI,0.604,2.113,66.901,12.072,7.042,3.32,1.207,5.634
17101,MERISANI,0.225,2.475,52.418,12.486,14.398,4.499,1.237,11.586
17209,MICESTI,0.324,7.767,47.816,14.482,7.201,7.767,1.294,12.46
17254,MIHAESTI,0.302,2.057,60.133,12.099,6.05,9.135,1.089,8.348
17334,MIOARELE,0,8.475,40.395,26.836,10.169,6.78,1.13,6.215
17398,MIROSI,0.188,4.896,65.537,12.994,5.461,5.461,1.695,3.578
17423,MORARESTI,0.194,9.69,43.217,12.016,3.488,6.008,0.969,20.155
17496,MOSOAIA,0.278,9.061,31.851,22.346,18.066,4.669,0.834,8.783
17575,MOZACENI,0,3.888,41.037,36.933,3.888,2.592,0.648,10.583
17619,MUSATESTI,0.196,6.464,51.322,18.903,7.15,3.134,1.567,10.186
17726,NEGRASI,0.18,6.463,57.989,15.978,8.259,3.411,1.795,4.309
17771,NUCSOARA,0,1.773,73.117,9.453,3.84,1.625,0.591,8.567
17824,OARJA,0.351,1.522,64.286,11.241,6.323,4.567,0.82,7.963
17851,PIETROSANI,0.227,2.955,50.379,13.485,8.182,5.152,0.833,18.03
17913,POIENARII DE ARGES,0.862,4.741,34.052,9.052,29.31,4.741,1.293,15.517
17968,POIENARII DE MUSCEL,0,9.012,43.704,32.963,3.827,4.938,0.494,4.568
18028,POIANA LACULUI,0.354,3.678,40.736,26.025,11.881,5.233,0.919,10.255
18162,POPESTI,0,1.814,73.696,9.524,3.175,5.896,1.134,4.762
18242,PRIBOIENI,0,2.526,61.324,17.683,7.143,3.833,1.045,6.359
18331,RATESTI,0.281,6.311,57.363,13.324,8.135,5.75,0.281,8.135
18411,RECEA,0,9.29,65.935,10.839,3.613,2.452,0.903,6.71
18475,ROCIU,0,1.664,75.306,8.319,5.954,5.166,0.613,2.89
18527,RUCAR,0.293,15.073,40.411,19.883,8.387,6.1,0.762,8.152
18554,SALATRUCU,0.723,1.989,57.324,14.286,9.403,5.425,0.542,9.765
18581,SAPATA,0.138,10.606,61.433,13.774,6.336,2.755,0.413,4.408
18670,SCHITU GOLESTI,0.275,2.198,38.553,24.359,7.875,4.762,1.099,12.454
18741,SLOBOZIA,0.204,3.36,62.22,9.572,8.554,2.851,0.611,12.322
18778,STALPENI,0.138,2.348,54.834,12.5,6.768,13.052,0.898,9.116
18858,STOENESTI,0.306,4.893,53.313,9.786,16.718,3.364,1.325,6.524
18938,STOLNICI,0.137,6.731,65.247,9.478,6.319,6.319,1.374,4.121
19007,SUSENI,0.237,5.562,37.87,27.219,11.598,6.154,0.473,10.651
19114,STEFAN CEL MARE,0.459,2.982,68.578,11.927,7.569,1.835,1.376,5.046
19141,SUICI,0.457,4.116,51.829,19.817,5.945,7.622,1.22,7.622
19212,TEIU,0,4.32,61.771,15.767,6.695,5.832,2.16,3.456
