Siruta,Localitate_X,Judet,Localitate
83491,Oras Borsec,hr,ORAS BORSEC
83525,Oras Cristuru Secuiesc,hr,ORAS CRISTURU SECUIESC
83561,Municipiul Gheorgheni,hr,MUNICIPIUL GHEORGHENI
83632,Municipiul Toplita,hr,MUNICIPIUL TOPLITA
83749,Oras Vlahita,hr,ORAS VLAHITA
83785,Atid,hr,ATID
83847,Avramesti,hr,AVRAMESTI
83936,Bilbor,hr,BILBOR
83963,Capalnita,hr,CAPALNITA
83981,Ciucsangeorgiu,hr,CIUCSANGEORGIU
84086,Ciumani,hr,CIUMANI
84102,Carta,hr,CARTA
84148,Corbu,hr,CORBU
84175,Corund,hr,CORUND
84237,Danesti,hr,DANESTI
84264,Dealu,hr,DEALU
84344,Ditrau,hr,DITRAU
84380,Darjiu,hr,DARJIU
84415,Frumoasa,hr,FRUMOASA
84460,Galautas,hr,GALAUTAS
84558,Joseni,hr,JOSENI
84594,Lazarea,hr,LAZAREA
84629,Lueta,hr,LUETA
84656,Lunca De Jos,hr,LUNCA DE JOS
84754,Lunca De Sus,hr,LUNCA DE SUS
84825,Lupeni,hr,LUPENI
84923,Martinis,hr,MARTINIS
85056,Meresti,hr,MERESTI
85074,Mihaileni,hr,MIHAILENI
85127,Mugeni,hr,MUGENI
85243,Ocland,hr,OCLAND
85289,Plaiesii De Jos,hr,PLAIESII DE JOS
85341,Praid,hr,PRAID
85412,Remetea,hr,REMETEA
85467,Sacel,hr,SACEL
85528,Sarmas,hr,SARMAS
85582,Secuieni,hr,SECUIENI
85626,Siculeni,hr,SICULENI
85680,Sancraieni,hr,SANCRAIENI
85760,Sandominic,hr,SANDOMINIC
85788,Sanmartin,hr,SANMARTIN
85840,Sansimion,hr,SANSIMION
85877,Subcetate,hr,SUBCETATE
85920,Suseni,hr,SUSENI
85984,Simonesti,hr,SIMONESTI
86133,Tulghes,hr,TULGHES
86188,Tusnad,hr,TUSNAD
86222,Ulies,hr,ULIES
86311,Varsag,hr,VARSAG
86339,Voslabeni,hr,VOSLABENI
86366,Zetea,hr,ZETEA
86438,Madaras,hr,MADARAS
86446,Cozmeni,hr,COZMENI
86453,Tomesti,hr,TOMESTI
86461,Ciceu,hr,CICEU
86479,Leliceni,hr,LELICENI
86487,Porumbeni,hr,PORUMBENI
86495,Racu,hr,RACU
86501,Satu Mare,hr,SATU MARE
86519,Santimbru,hr,SANTIMBRU
86687,Municipiul Deva,hd,MUNICIPIUL DEVA
86749,Carjiti,hd,CARJITI
86810,Municipiul Hunedoara,hd,MUNICIPIUL HUNEDOARA
86883,Ghelari,hd,GHELARI
86936,Teliucu Inferior,hd,TELIUCU INFERIOR
86990,Municipiul Petrosani,hd,MUNICIPIUL PETROSANI
87059,Municipiul Lupeni,hd,MUNICIPIUL LUPENI
87077,Oras Petrila,hd,ORAS PETRILA
87139,Oras Uricani,hd,ORAS URICANI
87175,Municipiul Vulcan,hd,MUNICIPIUL VULCAN
87219,Oras Aninoasa,hd,ORAS ANINOASA
87246,Banita,hd,BANITA
87291,Municipiul Brad,hd,MUNICIPIUL BRAD
87362,Criscior,hd,CRISCIOR
87424,Oras Calan,hd,ORAS CALAN
87576,Oras Hateg,hd,ORAS HATEG
87638,Municipiul Orastie,hd,MUNICIPIUL ORASTIE
87665,Oras Simeria,hd,ORAS SIMERIA
87745,Baia De Cris,hd,BAIA DE CRIS
87843,Balsa,hd,BALSA
87996,Baru,hd,BARU
88047,Bacia,hd,BACIA
88092,Baita,hd,BAITA
88216,Batrana,hd,BATRANA
88261,Beriu,hd,BERIU
88350,Blajeni,hd,BLAJENI
88449,Bosorod,hd,BOSOROD
88546,Branisca,hd,BRANISCA
88644,Bretea Romana,hd,BRETEA ROMANA
88788,Buces,hd,BUCES
88868,Bucuresci,hd,BUCURESCI
88920,Bulzestii De Sus,hd,BULZESTII DE SUS
89026,Bunila,hd,BUNILA
89080,Burjuc,hd,BURJUC
89151,Cerbal,hd,CERBAL
89240,Certeju De Sus,hd,CERTEJU DE SUS
89348,Densus,hd,DENSUS
89428,Dobra,hd,DOBRA
89561,Oras Geoagiu,hd,ORAS GEOAGIU
89687,Gurasada,hd,GURASADA
89801,Harau,hd,HARAU
89856,Ilia,hd,ILIA
89954,Lapugiu De Jos,hd,LAPUGIU DE JOS
90066,Lelese,hd,LELESE
90119,Lunca Cernii De Jos,hd,LUNCA CERNII DE JOS
90208,Luncoiu De Jos,hd,LUNCOIU DE JOS
90262,Martinesti,hd,MARTINESTI
90342,Orastioara De Sus,hd,ORASTIOARA DE SUS
90431,Pestisu Mic,hd,PESTISU MIC
90538,Pui,hd,PUI
90663,Rapoltu Mare,hd,RAPOLTU MARE
90725,Rachitova,hd,RACHITOVA
90805,Ribita,hd,RIBITA
90878,Rau De Mori,hd,RAU DE MORI
90994,Romos,hd,ROMOS
91054,Sarmizegetusa,hd,SARMIZEGETUSA
91116,Salasu De Sus,hd,SALASU DE SUS
91232,Santamaria-Orlea,hd,SANTAMARIA-ORLEA
91330,Soimus,hd,SOIMUS
91447,Tomesti,hd,TOMESTI
91535,Toplita,hd,TOPLITA
91624,Totesti,hd,TOTESTI
91688,Turdas,hd,TURDAS
91731,General Berthelot,hd,GENERAL BERTHELOT
91795,Vata De Jos,hd,VATA DE JOS
91937,Valisoara,hd,VALISOARA
91982,Vetel,hd,VETEL
92097,Vorta,hd,VORTA
92177,Zam,hd,ZAM
92569,Municipiul Calarasi,cl,MUNICIPIUL CALARASI
92587,Modelu,cl,MODELU
92658,Municipiul Slobozia,il,MUNICIPIUL SLOBOZIA
92701,Municipiul Fetesti,il,MUNICIPIUL FETESTI
92765,Oras Tandarei,il,ORAS TANDAREI
92783,Albesti,il,ALBESTI
92836,Oras Amara,il,ORAS AMARA
92872,Andrasesti,il,ANDRASESTI
92907,Balaciu,il,BALACIU
92961,Borcea,cl,BORCEA
92989,Bordusani,il,BORDUSANI
93021,Bucu,il,BUCU
93067,Oras Cazanesti,il,ORAS CAZANESTI
93085,Ciocanesti,cl,CIOCANESTI
93101,Ciochina,il,CIOCHINA
93156,Ciulnita,il,CIULNITA
93209,Cocora,il,COCORA
93236,Cosambesti,il,COSAMBESTI
93281,Cuza Voda,cl,CUZA VODA
93325,Dichiseni,cl,DICHISENI
93370,Dor Marunt,cl,DOR MARUNT
93441,Dorobantu,cl,DOROBANTU
93487,Dragalina,cl,DRAGALINA
93539,Dragos Voda,cl,DRAGOS VODA
93575,Facaeni,il,FACAENI
93600,Gheorghe Doja,il,GHEORGHE DOJA
93628,Gheorghe Lazar,il,GHEORGHE LAZAR
93646,Giurgeni,il,GIURGENI
93664,Gradistea,cl,GRADISTEA
93717,Grindu,il,GRINDU
93735,Grivita,il,GRIVITA
93771,Independenta,cl,INDEPENDENTA
93815,Jegalia,cl,JEGALIA
93851,Lehliu,cl,LEHLIU
93888,Oras Lehliu Gara,cl,ORAS LEHLIU GARA
93931,Lupsanu,cl,LUPSANU
93995,Mihail Kogalniceanu,il,MIHAIL KOGALNICEANU
94045,Milosesti,il,MILOSESTI
94081,Movila,il,MOVILA
94107,Munteni-Buzau,il,MUNTENI-BUZAU
94125,Alexandru Odobescu,cl,ALEXANDRU ODOBESCU
94161,Perieti,il,PERIETI
94223,Perisoru,cl,PERISORU
94269,Reviga,il,REVIGA
94312,Roseti,cl,ROSETI
94330,Salcioara,il,SALCIOARA
94376,Saveni,il,SAVENI
94429,Scanteia,il,SCANTEIA
94456,Sfantu Gheorghe,il,SFANTU GHEORGHE
94492,Stelnica,il,STELNICA
