Siruta,Localitate,Categorie
46108,CHILIILE,Barbati_18-24
46180,CHIOJDU,Barbati_18-24
46251,CILIBIA,Barbati_18-24
46313,CISLAU,Barbati_18-24
46377,COCHIRLEANCA,Barbati_18-24
46439,COLTI,Barbati_18-24
46484,COSTESTI,Barbati_18-24
46554,COZIENI,Barbati_18-24
46769,GALBINASI,Barbati_18-24
46803,GHERASENI,Barbati_18-24
46830,GHERGHEASA,Barbati_18-24
46867,GLODEANU SARAT,Barbati_18-24
46910,GLODEANU-SILISTEA,Barbati_18-24
47006,GREBANU,Barbati_18-24
47079,GURA TEGHII,Barbati_18-24
47159,LARGU,Barbati_18-24
47186,LOPATARI,Femei_35-44
47300,LUCIU,Barbati_18-24
47337,MAGURA,Barbati_18-24
47373,MARACINENI,Barbati_18-24
47417,MARGARITESTI,Barbati_18-24
47453,MEREI,Barbati_18-24
47578,MIHAILESTI,Barbati_18-24
47630,MANZALESTI,Barbati_18-24
47774,MOVILA BANULUI,Barbati_18-24
47818,MURGESTI,Barbati_18-24
47854,NAENI,Barbati_18-24
47916,ORAS NEHOIU,Barbati_18-24
48021,ODAILE,Barbati_18-24
48138,PADINA,Barbati_18-24
48165,PARDOSI,Barbati_18-24
48227,PANATAU,Barbati_18-24
48325,ORAS PATARLAGELE,Barbati_18-24
48487,PIETROASELE,Barbati_18-24
48557,PARSCOV,Barbati_18-24
48682,PODGORIA,Barbati_18-24
48744,ORAS POGOANELE,Barbati_18-24
48771,POSTA CALNAU,Barbati_18-24
48842,PUIESTI,Barbati_18-24
48922,RACOVITENI,Barbati_18-24
48968,RAMNICELU,Barbati_18-24
49019,ROBEASCA,Barbati_18-24
49046,RUSETU,Barbati_18-24
49073,SAGEATA,Barbati_18-24
49153,SAHATENI,Barbati_18-24
49206,SAPOCA,Barbati_18-24
49233,SARULESTI,Barbati_18-24
49313,SCORTOASA,Barbati_18-24
49439,SCUTELNICI,Barbati_18-24
49484,SIRIU,Barbati_18-24
49545,SMEENI,Barbati_18-24
49625,STALPU,Barbati_18-24
49643,TISAU,Barbati_18-24
49769,TOPLICENI,Barbati_18-24
49849,TINTESTI,Barbati_18-24
49894,ULMENI,Barbati_18-24
49956,VADU PASII,Barbati_18-24
50022,VALEA RAMNICULUI,Barbati_18-24
50068,VALEA SALCIEI,Barbati_18-24
50102,VERNESTI,Barbati_18-24
50228,VINTILA VODA,Barbati_18-24
50326,VIPERESTI,Barbati_18-24
50399,VALCELELE,Barbati_18-24
50415,ZARNESTI,Barbati_18-24
50479,ZIDURI,Barbati_18-24
50549,UNGURIU,Barbati_18-24
50564,FLORICA,Barbati_18-24
50790,MUNICIPIUL RESITA,Barbati_18-24
50889,ORAS ANINA,Barbati_18-24
50923,ORAS BAILE HERCULANE,Barbati_18-24
50969,ORAS BOCSA,Femei_35-44
50987,OCNA DE FIER,Femei_35-44
51010,MUNICIPIUL CARANSEBES,Barbati_18-24
51056,ORAS MOLDOVA NOUA,Barbati_18-24
51118,ORAS ORAVITA,Barbati_18-24
51207,ORAS OTELU ROSU,Femei_35-44
51243,ARMENIS,Barbati_18-24
51305,BANIA,Barbati_18-24
51332,BAUTAR,Barbati_18-24
51387,BERLISTE,Femei_35-44
51449,BERZASCA,Barbati_18-24
51500,BERZOVIA,Barbati_18-24
51546,BOLVASNITA,Barbati_18-24
51573,BOZOVICI,Barbati_18-24
51626,BREBU,Barbati_18-24
51662,BREBU NOU,Barbati_18-24
51699,BUCHIN,Barbati_18-24
51751,BUCOSNITA,Femei_35-44
51804,CARASOVA,Barbati_18-24
51840,CARBUNARI,Femei_25-34
51877,CONSTANTIN DAICOVICIU,Barbati_18-24
51948,CICLOVA ROMANA,Barbati_18-24
51984,CIUCHICI,Barbati_18-24
52035,CIUDANOVITA,Barbati_18-24
52062,COPACELE,Barbati_18-24
52115,CORNEA,Barbati_18-24
52160,CORNEREVA,Barbati_18-24
52570,DALBOSET,Barbati_18-24
52650,DOCLIN,Barbati_18-24
52696,DOGNECEA,Femei_35-44
52721,DOMASNEA,Barbati_18-24
52758,EZERIS,Barbati_18-24
52785,FARLIUG,Femei_35-44
52856,FOROTIC,Barbati_18-24
52909,GARNIC,Femei_35-44
52936,GLIMBOCA,Barbati_18-24
52954,GORUIA,Barbati_18-24
52990,GRADINARI,Barbati_18-24
53023,IABLANITA,Femei_35-44
53069,LAPUSNICEL,Barbati_18-24
53103,LAPUSNICU MARE,Barbati_18-24
53130,LUNCAVITA,Femei_35-44
53167,LUPAC,Femei_35-44
53210,MARGA,Barbati_18-24
53247,MAURENI,Barbati_18-24
53274,MEHADIA,Barbati_18-24
53327,MEHADICA,Barbati_18-24
53345,NAIDAS,Barbati_18-24
53372,OBREJA,Barbati_18-24
53425,PALTINIS,Barbati_18-24
53489,CORONINI,Barbati_18-24
53513,POJEJENA,Barbati_18-24
53577,PRIGOR,Barbati_18-24
53639,RAMNA,Barbati_18-24
53675,RACASDIA,Barbati_18-24
53700,EFTIMIE MURGU,Femei_35-44
53728,RUSCA MONTANA,Barbati_18-24
53755,SACU,Barbati_18-24
53791,SASCA MONTANA,Barbati_18-24
53853,SICHEVITA,Barbati_18-24
54056,SLATINA-TIMIS,Femei_35-44
54109,SOCOL,Barbati_18-24
54163,SOPOTU NOU,Barbati_18-24
54270,TEREGOVA,Barbati_18-24
54305,TICVANIU MARE,Barbati_18-24
54350,TARNOVA,Barbati_18-24
54387,TOPLET,Barbati_18-24
54412,TURNU RUIENI,Barbati_18-24
54485,VALIUG,Femei_35-44
54500,VARADIA,Barbati_18-24
54537,VERMES,Femei_35-44
54573,VRANI,Barbati_18-24
54617,ZAVOI,Barbati_18-24
54699,ZORLENTU MARE,Barbati_18-24
54975,MUNICIPIUL CLUJ-NAPOCA,Femei_35-44
55008,MUNICIPIUL DEJ,Femei_35-44
55062,CUZDRIOARA,Femei_35-44
55106,JICHISU DE JOS,Femei_35-44
55160,MICA,Femei_35-44
55259,MUNICIPIUL TURDA,Femei_35-44
55277,MIHAI VITEAZU,Femei_35-44
55311,SANDULESTI,Femei_35-44
55357,MUNICIPIUL CAMPIA TURZII,Femei_35-44
55384,MUNICIPIUL GHERLA,Femei_35-44
55446,ORAS HUEDIN,Femei_35-44
55473,AGHIRESU,Femei_35-44
55598,AITON,Femei_35-44
55623,ALUNIS,Femei_35-44
55687,APAHIDA,Femei_35-44
55776,ASCHILEU,Femei_35-44
55838,BACIU,Femei_35-44
55918,BAISOARA,Barbati_18-24
56014,BELIS,Barbati_18-24
56096,BOBALNA,Femei_35-44
56210,BONTIDA,Femei_25-34
56265,BORSA,Femei_35-44
56327,BUZA,Femei_35-44
56354,CAIANU,Femei_35-44
56425,CALARASI,Femei_25-34
56461,CALATELE,Femei_35-44
56522,CAMARASU,Femei_35-44
56568,CAPUSU MARE,Femei_35-44
56666,CASEIU,Barbati_18-24
56773,CATINA,Femei_35-44
56844,CEANU MARE,Femei_35-44
56988,CHINTENI,Femei_35-44
57083,CHIUIESTI,Femei_35-44
57163,CIUCEA,Barbati_18-24
57225,CIURILA,Femei_35-44
57314,CATCAU,Femei_35-44
57350,COJOCNA,Femei_35-44
57449,CORNESTI,Femei_35-44
57546,DABACA,Barbati_18-24
57582,FELEACU,Femei_35-44
57644,FIZESU GHERLII,Femei_35-44
57706,FLORESTI,Femei_35-44
57742,FRATA,Femei_35-44
57831,GEACA,Femei_35-44
57902,GILAU,Femei_35-44
57948,GARBAU,Femei_35-44
58008,IARA,Femei_35-44
58142,ICLOD,Barbati_18-24
58204,IZVORU CRISULUI,Femei_35-44
58259,JUCU,Femei_35-44
58311,LUNA,Femei_35-44
58357,MAGURI-RACATAU,Barbati_18-24
58393,MANASTIRENI,Femei_35-44
58464,MARGAU,Barbati_18-24
58534,MARISEL,Barbati_18-24
58552,MINTIU GHERLII,Barbati_18-24
58623,MOCIU,Femei_35-44
58721,MOLDOVENESTI,Femei_35-44
58794,PALATCA,Femei_35-44
58856,PANTICEU,Barbati_18-24
58918,PETRESTII DE JOS,Barbati_18-24
58990,PLOSCOS,Barbati_18-24
59041,POIENI,Barbati_18-24
59130,RECEA-CRISTUR,Barbati_18-24
59238,RISCA,Barbati_18-24
59283,SACUIEU,Femei_35-44
59327,SAVADISLA,Femei_35-44
59416,SIC,Femei_35-44
59434,SANCRAIU,Femei_25-34
59498,SANMARTIN,Femei_35-44
59586,SANPAUL,Barbati_18-24
59657,SUATU,Femei_35-44
59693,TRITENII DE JOS,Femei_35-44
59764,TURENI,Femei_35-44
59826,TAGA,Femei_35-44
59880,UNGURAS,Femei_35-44
59942,VAD,Barbati_18-24
60026,VALEA IERII,Femei_35-44
60062,VIISOARA,Femei_35-44
60099,VULTURENI,Femei_35-44
60169,NEGRENI,Barbati_18-24
60419,MUNICIPIUL CONSTANTA,Barbati_18-24
60455,ORAS EFORIE,Barbati_18-24
60482,MUNICIPIUL MANGALIA,Barbati_18-24
60507,ORAS NAVODARI,Barbati_18-24
60534,ORAS TECHIRGHIOL,Barbati_18-24
60570,AGIGEA,Barbati_18-24
60598,23-Aug,Barbati_18-24
60632,LIMANU,Barbati_18-24
60687,ORAS OVIDIU,Barbati_18-24
60721,TUZLA,Barbati_18-24
60776,ORAS CERNAVODA,Barbati_18-24
60801,ORAS HARSOVA,Barbati_18-24
60847,MUNICIPIUL MEDGIDIA,Barbati_18-24
60883,ADAMCLISI,Barbati_18-24
60945,ALBESTI,Barbati_18-24
61005,ALIMAN,Barbati_18-24
61121,CASTELU,Barbati_18-24
61167,CERCHEZU,Barbati_18-24
61210,CHIRNOGENI,Barbati_18-24
61256,CIOBANU,Barbati_18-24
61283,CIOCARLIA,Barbati_18-24
61318,COBADIN,Barbati_18-24
61372,COGEALAC,Barbati_18-24
61452,COMANA,Barbati_18-24
61513,CORBU,Barbati_18-24
61559,CRUCEA,Femei_35-44
61620,CUMPANA,Barbati_18-24
61675,DELENI,Barbati_18-24
61737,DOBROMIR,Femei_25-34
61808,GARLICIU,Barbati_18-24
61826,GHINDARESTI,Barbati_18-24
61871,INDEPENDENTA,Femei_25-34
61951,ION CORVIN,Barbati_18-24
62020,ISTRIA,Barbati_18-24
62057,LIPNITA,Barbati_18-24
62137,MERENI,Barbati_18-24
62191,MIHAIL KOGALNICEANU,Barbati_18-24
62253,MIHAI VITEAZU,Barbati_18-24
62280,MIRCEA VODA,Barbati_18-24
62360,ORAS MURFATLAR,Barbati_18-24
62397,ORAS NEGRU VODA,Barbati_18-24
62440,NICOLAE BALCESCU,Barbati_18-24
62486,OLTINA,Barbati_18-24
62538,OSTROV,Barbati_18-24
62609,PANTELIMON,Barbati_18-24
62672,PECINEAGA,Barbati_18-24
62707,PESTERA,Barbati_18-24
62761,POARTA ALBA,Barbati_18-24
62798,RASOVA,Barbati_18-24
62823,SARAIU,Barbati_18-24
62878,SACELE,Barbati_18-24
62903,SEIMENI,Barbati_18-24
62949,SILISTEA,Barbati_18-24
62985,TARGUSOR,Barbati_18-24
63045,TOPALU,Barbati_18-24
63072,TOPRAISAR,Barbati_18-24
63125,VALU LUI TRAIAN,Barbati_18-24
63152,LUMINA,Barbati_18-24
63161,DUMBRAVENI,Barbati_18-24
63170,VULTURU,Barbati_18-24
63171,BANEASA,Barbati_18-24
63189,TORTOMAN,Barbati_18-24
63198,AMZACEA,Barbati_18-24
63278,HORIA,Barbati_18-24
63286,COSTINESTI,Barbati_18-24
63294,BARAGANU,Barbati_18-24
63300,CUZA VODA,Barbati_18-24
63318,SALIGNY,Barbati_18-24
63326,GRADINA,Barbati_18-24
63334,FANTANELE,Barbati_18-24
63394,MUNICIPIUL SFANTU GHEORGHE,Femei_35-44
63447,ORAS BARAOLT,Barbati_25-34
63526,ORAS COVASNA,Femei_35-44
63553,COMANDAU,Femei_45-64
63580,ORAS INTORSURA BUZAULUI,Barbati_18-24
63633,BARCANI,Barbati_18-24
63688,SITA BUZAULUI,Barbati_18-24
63740,MUNICIPIUL TARGU SECUIESC,Femei_35-44
63777,AITA MARE,Femei_45-64
63802,BATANI,Barbati_25-34
63866,BELIN,Femei_18-24
63893,BODOC,Barbati_45-64
63937,BOROSNEU MARE,Femei_35-44
64005,BRATES,Femei_45-64
64041,BRADUT,Barbati_25-34
64096,BRETCU,Barbati_25-34
64130,CATALINA,Femei_35-44
64194,CERNAT,Barbati_25-34
64238,CHICHIS,Femei_35-44
64265,DOBARLAU,Femei_35-44
64318,GHELINTA,Barbati_25-34
64345,GHIDFALAU,Femei_45-64
64390,HAGHIG,Femei_35-44
64425,ILIENI,Barbati_25-34
64461,LEMNIA,Femei_35-44
64504,MALNAS,Barbati_45-64
64568,MOACSA,Femei_35-44
64602,OJDULA,Barbati_25-34
64639,OZUN,Femei_35-44
64719,POIAN,Femei_45-64
64773,RECI,Barbati_25-34
64826,SANZIENI,Femei_45-64
64871,TURIA,Femei_35-44
64906,VALEA CRISULUI,Barbati_25-34
64942,VALCELE,Femei_35-44
64997,VARGHIS,Barbati_25-34
65011,ZAGON,Femei_18-24
65048,ZABALA,Femei_35-44
65099,VALEA MARE,Barbati_18-24
65105,MERENI,Femei_35-44
65113,ARCUS,Femei_35-44
65121,BIXAD,Femei_45-64
65139,MICFALAU,Barbati_25-34
65147,DALNIC,Femei_35-44
65154,ESTELNIC,Femei_35-44
65342,MUNICIPIUL TARGOVISTE,Barbati_18-24
65379,ANINOASA,Barbati_18-24
65413,DOICESTI,Barbati_18-24
65431,RAZVAD,Barbati_18-24
65477,SOTANGA,Barbati_18-24
65501,ULMI,Barbati_18-24
65609,ORAS FIENI,Barbati_18-24
65645,MOTAIENI,Barbati_18-24
65681,ORAS GAESTI,Barbati_18-24
65707,GURA FOII,Barbati_18-24
65752,PETRESTI,Barbati_18-24
65841,MUNICIPIUL MORENI,Barbati_18-24
65869,IEDERA,Barbati_18-24
65921,ORAS PUCIOASA,Barbati_18-24
66009,BRANESTI,Barbati_18-24
66081,ORAS TITU,Barbati_18-24
66152,BRANISTEA,Barbati_18-24
66198,BALENI,Barbati_18-24
66223,BARBULETU,Barbati_18-24
66330,BEZDEAD,Barbati_18-24
66401,BILCIURESTI,Barbati_18-24
66438,BUCIUMENI,Barbati_18-24
66474,BUCSANI,Barbati_18-24
66526,CANDESTI,Femei_35-44
66580,COBIA,Barbati_18-24
66697,COJASCA,Barbati_18-24
66731,COMISANI,Barbati_18-24
66768,CONTESTI,Barbati_18-24
66857,CORBII MARI,Barbati_18-24
66955,CORNATELU,Barbati_18-24
67014,CORNESTI,Barbati_18-24
67121,COSTESTII DIN VALE,Barbati_18-24
67167,CRANGURILE,Barbati_18-24
67256,DARMANESTI,Barbati_18-24
67292,DOBRA,Barbati_18-24
67327,DRAGODANA,Barbati_18-24
67407,DRAGOMIRESTI,Barbati_18-24
67470,FINTA,Barbati_18-24
67522,GLODENI,Barbati_18-24
67595,GURA OCNITEI,Barbati_18-24
67648,GURA SUTII,Barbati_18-24
67675,HULUBESTI,Barbati_18-24
67737,I. L. CARAGIALE,Barbati_18-24
67773,LUCIENI,Barbati_18-24
67835,LUDESTI,Barbati_18-24
67906,LUNGULETU,Barbati_18-24
67942,MALU CU FLORI,Barbati_18-24
68002,MANESTI,Barbati_18-24
68048,MATASARU,Barbati_18-24
68128,MOGOSANI,Barbati_18-24
68182,MOROENI,Barbati_18-24
68253,MORTENI,Barbati_18-24
68280,NUCET,Barbati_18-24
68324,OCNITA,Barbati_18-24
68342,ODOBESTI,Barbati_18-24
68404,PIETROSITA,Femei_35-44
68431,POIANA,Barbati_18-24
68468,POTLOGI,Femei_35-44
68529,PRODULESTI,Barbati_18-24
68565,PUCHENI,Barbati_18-24
68627,ORAS RACARI,Barbati_18-24
68716,RUNCU,Barbati_18-24
68789,SALCIOARA,Barbati_18-24
68887,SELARU,Barbati_18-24
68921,TATARANI,Barbati_18-24
68976,ULIESTI,Barbati_18-24
69063,VALEA LUNGA,Barbati_18-24
69170,VALEA MARE,Barbati_18-24
69250,VACARESTI,Barbati_18-24
69303,VALENI-DAMBOVITA,Barbati_18-24
69330,VISINA,Barbati_18-24
69394,VISINESTI,Barbati_18-24
69447,VARFURI,Barbati_18-24
69526,VOINESTI,Barbati_18-24
69615,VULCANA-BAI,Barbati_18-24
69900,MUNICIPIUL CRAIOVA,Barbati_18-24
69964,BUCOVAT,Barbati_18-24
70094,ISALNITA,Barbati_18-24
70110,PODARI,Barbati_18-24
70174,SIMNICU DE SUS,Barbati_18-24
70316,MUNICIPIUL BAILESTI,Barbati_18-24
70352,MUNICIPIUL CALAFAT,Barbati_18-24
70414,ORAS FILIASI,Barbati_18-24
70502,ORAS SEGARCEA,Barbati_18-24
70520,AFUMATI,Femei_35-44
70566,ALMAJ,Barbati_18-24
70637,AMARASTII DE JOS,Femei_35-44
70673,AMARASTII DE SUS,Femei_35-44
70726,APELE VII,Barbati_18-24
70744,ARGETOAIA,Barbati_18-24
70879,ORAS BECHET,Barbati_18-24
70897,BISTRET,Barbati_18-24
70940,BARCA,Barbati_18-24
70968,BOTOSESTI-PAIA,Femei_35-44
70986,BRABOVA,Barbati_18-24
71055,BRADESTI,Barbati_18-24
71126,BRALOSTITA,Barbati_18-24
71199,BRATOVOESTI,Barbati_18-24
71260,BREASTA,Barbati_18-24
71340,BULZESTI,Barbati_18-24
71457,CALOPAR,Barbati_18-24
71518,CARAULA,Barbati_18-24
71536,CARPEN,Barbati_18-24
71572,CASTRANOVA,Barbati_18-24
71607,CALARASI,Barbati_18-24
71634,CELARU,Barbati_18-24
71698,CERAT,Barbati_25-34
71723,CERNATESTI,Barbati_18-24
71787,CETATE,Femei_35-44
71812,CIOROIASI,Barbati_18-24
71858,CIUPERCENII NOI,Barbati_18-24
71885,COSOVENI,Barbati_18-24
71910,COTOFENII DIN DOS,Barbati_18-24
71956,DANETI,Barbati_18-24
72007,ORAS DABULENI,Barbati_18-24
72034,DESA,Barbati_18-24
72052,DIOSTI,Barbati_18-24
72098,DOBRESTI,Barbati_18-24
72150,DRAGOTESTI,Barbati_18-24
72221,DRANIC,Barbati_18-24
72276,FARCAS,Femei_35-44
72383,GALICEA MARE,Barbati_18-24
72409,GHERCESTI,Barbati_18-24
72463,GIGHERA,Barbati_18-24
72506,GIUBEGA,Barbati_18-24
72533,GIURGITA,Femei_35-44
72579,GANGIOVA,Barbati_18-24
72604,GOGOSU,Barbati_18-24
72640,GOICEA,Barbati_18-24
72677,GOIESTI,Barbati_18-24
72819,GRECESTI,Barbati_18-24
72882,IZVOARE,Barbati_18-24
72926,LEU,Barbati_18-24
72953,LIPOVU,Femei_35-44
72980,MACESU DE JOS,Barbati_18-24
73013,MACESU DE SUS,Barbati_18-24
73031,MAGLAVIT,Barbati_18-24
73068,MALU MARE,Barbati_18-24
73102,MELINESTI,Barbati_18-24
73246,MISCHII,Barbati_18-24
73317,MARSANI,Barbati_18-24
73335,MOTATEI,Barbati_18-24
73371,MURGASI,Barbati_18-24
73460,NEGOI,Barbati_18-24
73503,ORODEL,Barbati_18-24
73567,OSTROVENI,Barbati_18-24
73594,PERISOR,Barbati_18-24
73629,PIELESTI,Barbati_18-24
73665,PISCU VECHI,Barbati_18-24
73709,PLENITA,Barbati_18-24
73736,POIANA MARE,Barbati_18-24
73772,PREDESTI,Barbati_18-24
73852,RADOVAN,Femei_35-44
73905,RAST,Barbati_18-24
73923,ROBANESTI,Barbati_18-24
73996,SADOVA,Barbati_18-24
74028,SALCUTA,Barbati_18-24
74073,SCAESTI,Barbati_18-24
74108,SEACA DE CAMP,Barbati_18-24
74135,SEACA DE PADURE,Barbati_18-24
74171,SECU,Barbati_18-24
74224,SILISTEA CRUCII,Barbati_18-24
74242,SOPOT,Barbati_18-24
74322,TEASC,Barbati_18-24
74359,TERPEZITA,Barbati_18-24
74411,TESLUI,Barbati_18-24
74509,TUGLUI,Barbati_18-24
74536,UNIREA,Barbati_18-24
74554,URZICUTA,Barbati_18-24
74581,VALEA STANCIULUI,Barbati_18-24
74616,VELA,Barbati_18-24
74705,VERBITA,Barbati_18-24
74732,VARTOP,Femei_25-34
74750,VARVORU DE JOS,Barbati_18-24
74842,CATANE,Barbati_18-24
74859,CARCEA,Barbati_18-24
74867,CARNA,Barbati_18-24
74875,COTOFENII DIN FATA,Barbati_18-24
74883,DOBROTESTI,Barbati_18-24
74891,GALICIUICA,Barbati_18-24
74907,GHIDICI,Femei_25-34
74915,GHINDENI,Barbati_18-24
74923,INTORSURA,Barbati_18-24
74931,PLESOI,Femei_25-34
74949,ROJISTE,Barbati_18-24
74956,TALPAS,Barbati_18-24
75098,MUNICIPIUL GALATI,Barbati_18-24
75114,SENDRENI,Barbati_18-24
75150,VANATORI,Barbati_18-24
75203,MUNICIPIUL TECUCI,Barbati_18-24
75221,DRAGANESTI,Barbati_18-24
75258,MUNTENI,Barbati_18-24
75338,ORAS BERESTI,Barbati_18-24
75356,BERESTI-MERIA,Barbati_18-24
75472,ORAS TARGU BUJOR,Barbati_18-24
75515,BARCEA,Barbati_18-24
75542,BALABANESTI,Barbati_18-24
75613,BALASESTI,Barbati_18-24
75668,BALENI,Barbati_18-24
75686,BANEASA,Barbati_18-24
75711,BRANISTEA,Barbati_18-24
75766,BRAHASESTI,Barbati_25-34
75819,BUCIUMENI,Barbati_18-24
75864,CAVADINESTI,Barbati_18-24
75917,CERTESTI,Barbati_18-24
75953,COROD,Barbati_18-24
76004,CORNI,Barbati_18-24
76040,COSMESTI,Barbati_18-24
76111,COSTACHE NEGRI,Barbati_18-24
76139,CUCA,Barbati_18-24
76157,CUDALBI,Barbati_18-24
76175,DRAGUSENI,Barbati_18-24
76255,FARTANESTI,Barbati_18-24
76282,FOLTESTI,Barbati_18-24
76317,FRUMUSITA,Barbati_18-24
76353,FUNDENI,Barbati_18-24
76406,GHIDIGENI,Barbati_18-24
76497,GOHOR,Barbati_18-24
76558,GRIVITA,Barbati_18-24
76585,INDEPENDENTA,Barbati_18-24
76601,IVESTI,Barbati_18-24
76638,JORASTI,Barbati_18-24
76674,LIESTI,Barbati_18-24
76692,MATCA,Barbati_18-24
76718,MASTACANI,Barbati_18-24
76745,MOVILENI,Barbati_18-24
76763,NAMOLOASA,Barbati_18-24
76807,NICORESTI,Barbati_18-24
76932,OANCEA,Barbati_18-24
76969,PECHEA,Barbati_18-24
76996,PISCU,Barbati_18-24
77028,PRIPONESTI,Barbati_18-24
77082,REDIU,Barbati_18-24
77126,SCANTEIESTI,Barbati_18-24
77153,SCHELA,Barbati_18-24
77180,SLOBOZIA CONACHI,Barbati_18-24
77224,SMARDAN,Barbati_18-24
77260,SMULTI,Barbati_18-24
77288,SUCEVENI,Barbati_18-24
77313,TUDOR VLADIMIRESCU,Barbati_18-24
77331,TULUCESTI,Barbati_18-24
77377,TEPU,Barbati_18-24
77402,UMBRARESTI,Barbati_18-24
77475,VALEA MARULUI,Barbati_18-24
77509,VARLEZI,Barbati_18-24
77536,VLADESTI,Barbati_18-24
77561,RADESTI,Barbati_18-24
77579,NEGRILESTI,Barbati_18-24
77587,POIANA,Barbati_18-24
77595,CUZA VODA,Barbati_18-24
77601,SUHURLUI,Barbati_18-24
77812,MUNICIPIUL TARGU JIU,Barbati_18-24
77910,BALESTI,Barbati_18-24
78016,DRAGUTESTI,Barbati_18-24
78089,TURCINESTI,Femei_35-44
78141,MUNICIPIUL MOTRU,Barbati_18-24
78258,ORAS NOVACI,Barbati_18-24
78329,ORAS TARGU CARBUNESTI,Femei_35-44
78454,ORAS TICLENI,Barbati_18-24
78472,ALBENI,Femei_35-44
78542,ALIMPESTI,Barbati_18-24
78604,ANINOASA,Barbati_18-24
78668,ARCANI,Femei_35-44
78711,BAIA DE FIER,Barbati_18-24
78748,BALANESTI,Barbati_18-24
78828,BARBATESTI,Femei_35-44
78873,BENGESTI-CIOCADIA,Barbati_18-24
78926,BERLESTI,Femei_35-44
79004,BALTENI,Femei_35-44
79077,BOLBOSI,Femei_35-44
79157,BORASCU,Femei_35-44
79237,BRANESTI,Femei_35-44
79308,ORAS BUMBESTI-JIU,Barbati_18-24
79362,BUMBESTI-PITIC,Barbati_18-24
79406,BUSTUCHIN,Femei_35-44
79497,CAPRENI,Barbati_18-24
79585,CATUNELE,Femei_35-44
79656,CIUPERCENI,Femei_35-44
79736,CALNIC,Femei_35-44
79834,CRASNA,Barbati_18-24
79932,CRUSET,Femei_35-44
80043,DANCIULESTI,Femei_35-44
80123,DANESTI,Femei_35-44
80249,DRAGOTESTI,Barbati_18-24
80285,FARCASESTI,Femei_35-44
80365,GLOGOVA,Barbati_18-24
80427,GODINESTI,Femei_35-44
80506,HUREZANI,Barbati_18-24
80560,IONESTI,Femei_35-44
80613,JUPANESTI,Barbati_18-24
80677,LELESTI,Femei_35-44
80711,LICURICI,Femei_35-44
80766,LOGRESTI,Femei_35-44
80846,MATASARI,Femei_35-44
80908,MUSETESTI,Femei_35-44
80980,NEGOMIR,Femei_35-44
81095,PADES,Barbati_18-24
81184,PESTISANI,Barbati_18-24
81264,PLOPSORU,Barbati_18-24
81380,POLOVRAGI,Femei_35-44
81415,PRIGORIA,Femei_35-44
81497,ROSIA DE AMARADIA,Femei_35-44
81576,RUNCU,Femei_35-44
81656,SAMARINESTI,Barbati_18-24
81754,SACELU,Femei_35-44
81816,SAULESTI,Barbati_18-24
81861,SCOARTA,Femei_35-44
81987,SCHELA,Femei_35-44
82047,SLIVILESTI,Femei_35-44
82136,STANESTI,Barbati_18-24
82243,STEJARI,Barbati_18-24
82314,STOINA,Femei_35-44
82396,TELESTI,Barbati_18-24
82430,ORAS TISMANA,Barbati_18-24
82555,TURBUREA,Barbati_18-24
82617,ORAS TURCENI,Femei_35-44
82680,TANTARENI,Femei_35-44
82733,URDARI,Femei_35-44
82779,VAGIULESTI,Femei_35-44
82831,VLADIMIR,Barbati_18-24
82895,ORAS ROVINARI,Femei_35-44
83133,MUNICIPIUL ODORHEIU SECUIESC,Femei_35-44
83151,BRADESTI,Femei_45-64
83197,FELICENI,Femei_45-64
83320,MUNICIPIUL MIERCUREA-CIUC,Femei_35-44
83375,PAULENI-CIUC,Femei_35-44
83428,ORAS BAILE TUSNAD,Femei_35-44
83464,ORAS BALAN,Femei_35-44
83491,ORAS BORSEC,Femei_35-44
83525,ORAS CRISTURU SECUIESC,Femei_45-64
83561,MUNICIPIUL GHEORGHENI,Femei_35-44
83632,MUNICIPIUL TOPLITA,Femei_35-44
83749,ORAS VLAHITA,Femei_35-44
83785,ATID,Barbati_45-64
83847,AVRAMESTI,Femei_25-34
83936,BILBOR,Barbati_18-24
83963,CAPALNITA,Femei_35-44
83981,CIUCSANGEORGIU,Femei_45-64
84086,CIUMANI,Barbati_25-34
84102,CARTA,Femei_25-34
84148,CORBU,Femei_25-34
84175,CORUND,Femei_45-64
84237,DANESTI,Femei_45-64
84264,DEALU,Femei_25-34
84344,DITRAU,Femei_35-44
84380,DARJIU,Femei_45-64
84415,FRUMOASA,Femei_35-44
84460,GALAUTAS,Barbati_25-34
84558,JOSENI,Femei_18-24
84594,LAZAREA,Femei_35-44
84629,LUETA,Barbati_35-44
84656,LUNCA DE JOS,Femei_35-44
84754,LUNCA DE SUS,Femei_35-44
84825,LUPENI,Femei_45-64
84923,MARTINIS,Femei_35-44
85056,MERESTI,Femei_25-34
85074,MIHAILENI,Femei_35-44
85127,MUGENI,Femei_45-64
85243,OCLAND,Femei_35-44
85289,PLAIESII DE JOS,Barbati_25-34
85341,PRAID,Femei_25-34
85412,REMETEA,Femei_25-34
85467,SACEL,Barbati_25-34
85528,SARMAS,Femei_35-44
85582,SECUIENI,Femei_35-44
85626,SICULENI,Femei_35-44
85680,SANCRAIENI,Femei_35-44
85760,SANDOMINIC,Femei_35-44
85788,SANMARTIN,Femei_35-44
85840,SANSIMION,Femei_25-34
